Ano,Trimestre,Categoria,Tipo,CNPJ IF,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,Quantidade total de clientes  CCS e SCR,Quantidade de clientes  CCS,Quantidade de clientes  SCR,Unnamed: 14
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,15173776,SOCIAL BANK BANCO MÚLTIPLO S/A, ,17,1,1,19,1321,1311,17,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,23757411,SOCIAL BANK INSTITUIÇÃO DE PAGAMENTO S.A, ,2,0,0,2,283011,283011, ,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SOCIETE GENERALE (conglomerado), ,0,1,0,1,428,341,137,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,03881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,3,4,16,23,2234,448,1786,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SOFISA (conglomerado),"68,21",40,29,27,96,586409,577267,54379,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SOROCRED (conglomerado), ,16,43,29,88,635124,1061,634109,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,09274232,STATE STREET BRASIL S.A. - BANCO COMERCIAL, ,0,1,0,1,1,1, ,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,STONE (conglomerado),"55,91",145,533,18,696,2593141,2593044,99,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SUMUP (conglomerado), ,0,2,0,2, , , ,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,30980539,U4CRYPTO INSTITUIÇÃO DE PAGAMENTO SA, ,11,7,2,20,0,0,0,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,UBS (conglomerado), ,0,1,0,1,0,0, ,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,05192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS", ,2,5,2,9,459801,13555,450697,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,VOITER (conglomerado), ,0,4,3,7,201484,9550,192269,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,VOLKSWAGEN (conglomerado), ,14,41,55,110,324006,288,323852,
