Segmento_x,CNPJ,Nome_x,employer_name,reviews_count,culture_count,salaries_count,benefits_count,employer-website,employer-headquarters,employer-founded,employer-industry,employer-revenue,url,Geral,Cultura e valores,Diversidade e inclusÃ£o,Qualidade de vida,Alta lideranÃ§a,RemuneraÃ§Ã£o e benefÃ­cios,Oportunidades de carreira,Recomendam para outras pessoas(%),Perspectiva positiva da empresa(%),Nome_y,match_percent,Segmento_y,Ano,Trimestre,Categoria,Tipo,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,quantidade_total_clientes_ccs_scr,quantidade_clientes_ccs,quantidade_clientes_scr,Unnamed: 14
,991143.0,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,WORLDPAY DO BRASIL INSTITUICAO DE PAGAMENTO LTDA, ,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
S5,991739.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS SERVIDORES P�BLICOS DA REGI�O METROPOLITANA DE BEL�M LTDA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S4,997185.0,BANCO BM&FBOVESPA - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO B3 S.A., ,1.0,0.0,3.0,4.0,0.0,0.0,0.0,
S4,997185.0,BANCO BM&FBOVESPA - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO B3 S.A., ,0.0,1.0,1.0,2.0,0.0,0.0,0.0,
S4,997185.0,BANCO BM&FBOVESPA - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO B3 S.A., ,1.0,0.0,3.0,4.0,0.0,0.0,0.0,
S5,1009908.0,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S3,1023570.0,BANCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2021.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO RABOBANK INTERNATIONAL BRASIL S.A., ,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
S3,1023570.0,BANCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO RABOBANK INTERNATIONAL BRASIL S.A., ,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
S3,1023570.0,BANCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO RABOBANK INTERNATIONAL BRASIL S.A., ,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
S3,1023570.0,BANCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO RABOBANK INTERNATIONAL BRASIL S.A., ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
